Tag,Title,Authors,Month,Year
Habed_2014_CVPR,Efficient Pruning LMI Conditions for Branch-and-Prune Rank and Chirality-Constrained Estimation of the Dual Absolute Quadric,"Habed, Adlane and Pani Paudel, Danda and Demonceaux, Cedric and Fofi, David",June,2014
Ferraz_2014_CVPR,Very Fast Solution to the PnP Problem with Algebraic Outlier Rejection,"Ferraz, Luis and Binefa, Xavier and Moreno-Noguer, Francesc",June,2014
Lezama_2014_CVPR,Finding Vanishing Points via Point Alignments in Image Primal and Dual Domains,"Lezama, Jose and Grompone von Gioi, Rafael and Randall, Gregory and Morel, Jean-Michel",June,2014
Donoser_2014_CVPR,Discriminative Feature-to-Point Matching in Image-Based Localization,"Donoser, Michael and Schmalstieg, Dieter",June,2014
Chen_2014_CVPR,Two-View Camera Housing Parameters Calibration for Multi-Layer Flat Refractive Interface,"Chen, Xida and Yang, Yee-Hong",June,2014
Svarm_2014_CVPR,Accurate Localization and Pose Estimation for Large 3D Models,"Svarm, Linus and Enqvist, Olof and Oskarsson, Magnus and Kahl, Fredrik",June,2014
Lee_2014_CVPR,Relative Pose Estimation for a Multi-Camera System with Known Vertical Direction,"Hee Lee, Gim and Pollefeys, Marc and Fraundorfer, Friedrich",June,2014
Nowozin_2014_CVPR,Optimal Decisions from Probabilistic Models: The Intersection-over-Union Case,"Nowozin, Sebastian",June,2014
Guillemot_2014_CVPR,Covariance Trees for 2D and 3D Processing,"Guillemot, Thierry and Almansa, Andres and Boubekeur, Tamy",June,2014
Aodha_2014_CVPR,Hierarchical Subquery Evaluation for Active Learning on a Graph,"Mac Aodha, Oisin and Campbell, Neill D.F. and Kautz, Jan and Brostow, Gabriel J.",June,2014
Karayev_2014_CVPR,Anytime Recognition of Objects and Scenes,"Karayev, Sergey and Fritz, Mario and Darrell, Trevor",June,2014
Girshick_2014_CVPR,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Girshick, Ross and Donahue, Jeff and Darrell, Trevor and Malik, Jitendra",June,2014
Vemulapalli_2014_CVPR,Human Action Recognition by Representing 3D Skeletons as Points in a Lie Group,"Vemulapalli, Raviteja and Arrate, Felipe and Chellappa, Rama",June,2014
Cai_2014_CVPR,Multi-View Super Vector for Action Recognition,"Cai, Zhuowei and Wang, Limin and Peng, Xiaojiang and Qiao, Yu",June,2014
