A_id,B_id
2384,9082
2384,7145
2387,6457
2387,4069
2387,388
2387,6458
2387,2486
2387,1677
2387,1848
2387,4686
2387,5689
239,9613
2390,1
2399,1146
2402,6955
2402,1574
2402,5111
2405,1591
2405,5233
2405,1775
2405,5802
2405,6466
2408,4242
2408,4458
2411,7582
2411,1878
2411,4348
2411,789
2411,2144
2411,5487
2411,5486
2414,5829
245,1892
245,6375
245,5146
245,1727
245,3717
245,1127
245,1977
245,1864
245,7182
2450,6039
2450,2698
2450,2464
2450,2381
2459,6153
2459,1050
2462,1348
2462,7995
2471,4271
2471,3875
2474,3489
2483,5014
2483,774
2483,476
2483,320
2486,2141
2486,2468
2486,6726
2498,8569
2498,1078
2507,8827
2510,6668
2513,1554
2516,5205
2519,5205
2525,1146
2531,5769
2531,5686
2531,3061
2531,3067
2534,574
2534,7196
2534,9707
2540,2840
2540,119
2540,3990
2540,2537
2540,6655
2543,8668
2543,9571
2546,4509
2549,9148
2549,6726
2549,7517
2549,5857
2549,2735
2549,4458
2549,1377
2549,724
2552,4206
2552,9439
2555,1986
2555,987
2561,6559
2561,6473
2561,1552
2561,5244
2561,1053
2561,1127
2561,5620
257,897
257,3304
257,338
257,3115
257,3736
2570,8124
2570,9354
2576,1095
2576,8475
2579,9120
2579,8073
2597,9022
2597,4889
26,1393
26,5939
26,388
2603,9441
2603,8599
2603,2858
2609,152
2609,6375
2609,120
2609,1953
2609,3528
2609,9304
2609,7915
2612,7026
2615,2484
2615,5205
2621,7213
2621,7337
2621,8040
2621,8541
2621,3643
2621,5434
2621,284
2621,6141
263,3885
2630,8040
2630,5443
2630,1061
2630,48
2630,1003
2639,9723
2639,8617
2639,9164
2645,7476
2651,5829
2651,2947
2651,2951
2651,5002
2651,5746
2651,8419
2657,8195
2657,3934
2666,7827
2669,8224
2675,9326
269,7182
2699,6141
2702,5347
2702,379
2705,5710
2708,5998
2708,9439
2711,811
2711,2176
2714,7335
2714,4644
2714,5745
272,1908
272,255
2723,8946
2726,8479
2735,2397
2735,4629
2735,4771
2735,7660
2735,9211
2735,6749
2735,7780
2735,9304
2735,9625
2735,7962
2735,9209
2735,7286
2738,9008
2738,9326
2738,9360
2741,9439
2741,1971
2741,5999
2747,856
2747,6099
2747,927
275,8412
2753,3643
2753,1854
2753,692
2753,9419
2753,9306
2756,8575
2756,8554
2756,2998
2756,5665
2759,3914
2759,3877
2759,5329
2759,1527
2759,3630
2759,8187
2759,8541
2762,9335
2768,5434
2768,9816
2774,5016
2774,3370
2774,4308
2774,4588
2774,9914
2786,4830
2786,344
2786,1227
2786,8183
2792,3929
2792,856
2795,9093
2795,8740
2795,8000
2795,9543
2795,8320
2795,8678
2795,7858
